metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,2.094937144941856,0.07524792666354248,2.0159457115875954,2.165777965856194
cpu_cores_per_rps,3,0.0033839869980297863,0.00027183567842740464,0.003093659489514216,0.0036324807547817328
cpu_throttle_ratio,3,0.10093367176748337,0.006353631847536073,0.0939746025346737,0.10642496039811211
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,111473.66666666667,4894.439429938155,106835.0,116589.0
k6_steady_latency_p50_ms,3,6.354375,1.0326026659005874,5.44975,7.479375
k6_steady_latency_p95_ms,3,661.5808797,47.41568290607744,607.1888921999999,694.1972754000001
k6_steady_latency_p99_ms,3,1033.77419268,114.19145764252303,903.8031080399996,1118.00361368
k6_steady_rps,3,619.2981481481482,27.191330166323077,593.5277777777778,647.7166666666667
k6_thresholds_passed,3,1.0,0.0,1.0,1.0
latency_p50_seconds,3,0.004445079985671496,0.0002589381342542859,0.0041918997613063815,0.004709415471148089
latency_p95_seconds,3,0.089893817577458,0.0049424124683608885,0.08491295930752388,0.09479686545116743
latency_p99_seconds,3,0.20573302773468974,0.04908436938723077,0.1528860380310311,0.24989552136289211
memory_bytes_per_rps,3,3858488.3965437473,242680.65515850185,3599213.852456883,4080193.217047922
memory_working_set_bytes,3,2389954305.127169,43693845.872824065,2345384084.9454546,2432715590.9320903
postgres_cache_hit_ratio,3,0.9999231717264268,7.459781649255054e-05,0.9998376980283964,0.9999751562472684
postgres_connections,3,72.33333333333333,37.28717384481336,46.0,115.0
postgres_locks,3,32.666666666666664,24.54248017893329,18.0,61.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,3462792.0,23542.692454347696,3449024.0,3489976.0
redis_ops_per_second,3,625.857323341716,29.187279257581476,600.1949012835787,657.608823508178
restarts,3,0.0,0.0,0.0,0.0
rps,3,620.5855255939167,28.30586339154748,596.2255857805172,651.6378801288666
rps_per_tenant,3,51.715460466159726,2.3588219492956233,49.68546548170977,54.30315667740555
running_pods,3,23.0,0.0,23.0,23.0
tenant_count,3,12.0,0.0,12.0,12.0
