metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,0.7986215116350525,0.06448976578054702,0.7242772660965165,0.839485484470239
cpu_cores_per_rps,3,0.0024986997821429035,0.00021592101846936636,0.0022498995800641053,0.0026370902656291965
cpu_throttle_ratio,3,0.026426115386843935,0.011084121365039574,0.0136940944651558,0.033923266366013824
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,57343.333333333336,866.7954391512068,56346.0,57915.0
k6_steady_latency_p50_ms,3,2.999041666666667,0.15485255648626975,2.842208,3.151834
k6_steady_latency_p95_ms,3,9.519012699999978,4.070877608094377,5.080033199999999,13.077770999999982
k6_steady_latency_p99_ms,3,152.0666125866665,103.0931104886216,33.897665559999865,223.6115996999997
k6_steady_rps,3,318.5740740740741,4.815530217506684,313.03333333333336,321.75
k6_thresholds_passed,3,1.0,0.0,1.0,1.0
latency_p50_seconds,3,0.002612286409937551,5.4643446040185945e-05,0.002549240765661931,0.0026460095158185835
latency_p95_seconds,3,0.005780434708915203,0.0008129295968082791,0.004843557454757668,0.006299373705780245
latency_p99_seconds,3,0.11578857914917223,0.09291372903015784,0.009804176897728632,0.18321826280623385
memory_bytes_per_rps,3,2999228.2234763787,131418.3568828055,2870690.39360487,3133349.155166975
memory_working_set_bytes,3,958673367.7666925,32523660.010209188,924119373.3768454,988690245.8181818
postgres_cache_hit_ratio,3,0.9999349520482864,6.611122784376338e-05,0.9998639708391663,0.9999947725811427
postgres_connections,3,40.666666666666664,28.571547618799602,11.0,68.0
postgres_locks,3,3.6666666666666665,4.618802153517006,1.0,9.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,1067114.6666666667,23643.648223853554,1053464.0,1094416.0
redis_ops_per_second,3,320.3552979475134,4.787284385204294,314.83894427441595,323.422462485758
restarts,3,0.0,0.0,0.0,0.0
rps,3,319.7349823838409,3.635746872324888,315.5378468396366,321.9153745856871
rps_per_tenant,3,106.5783274612803,1.211915624108296,105.17928227987886,107.3051248618957
running_pods,3,9.0,0.0,9.0,9.0
tenant_count,3,3.0,0.0,3.0,3.0
